"Year","Cruise","Season","Line","Station","SpeciesName","presence","effort"
2011,"CC1108","Summer",93,50,"Blue whale",1,6
2004,"CC0411","Fall",93,100,"Blue whale",2,4
2007,"CC0701","Winter",93,100,"Humpback whale",4,4
2007,"CC0701","Winter",93,100,"Fin whale",3,4
2007,"CC0711","Fall",93,100,"Blue whale",1,3
2007,"CC0711","Fall",93,100,"Fin whale",2,3
2008,"CC0803","Spring",93,100,"Humpback whale",1,3
2009,"CC0903","Spring",93,100,"Blue whale",1,3
2009,"CC0903","Spring",93,100,"Humpback whale",2,3
2010,"CC1001","Winter",93,100,"Humpback whale",3,3
2010,"CC1001","Winter",93,100,"Fin whale",1,3
2005,"CC0501","Winter",93,120,"Blue whale",2,4
2005,"CC0501","Winter",93,120,"Humpback whale",4,4
2005,"CC0504","Spring",93,120,"Humpback whale",4,4
2005,"CC0504","Spring",93,120,"Blue whale",1,4
2005,"CC0507","Summer",93,120,"Blue whale",1,3
2006,"CC0607","Summer",93,120,"Blue whale",2,3
2007,"CC0704","Spring",93,120,"Fin whale",1,2
2007,"CC0707","Summer",93,120,"Fin whale",2,3
2008,"CC0803","Spring",93,120,"Humpback whale",1,2
2010,"CC1011","Fall",93,120,"Humpback whale",2,5
2011,"CC1104","Spring",93,120,"Humpback whale",1,3
2012,"CC1203","Spring",93,120,"Humpback whale",3,3
2011,"CC1108","Summer",93,26,"Blue whale",2,3
2011,"CC1108","Summer",93,26,"Fin whale",1,3
2004,"CC0411","Fall",87,60,"Fin whale",2,4
2005,"CC0504","Spring",87,60,"Humpback whale",2,4
2006,"CC0611","Fall",87,60,"Blue whale",1,3
2006,"CC0611","Fall",87,60,"Fin whale",1,3
2007,"CC0711","Fall",87,60,"Blue whale",1,3
2007,"CC0711","Fall",87,60,"Fin whale",1,3
2009,"CC0901","Winter",87,60,"Fin whale",1,3
2009,"CC0901","Winter",87,60,"Humpback whale",2,3
2010,"CC1001","Winter",87,60,"Fin whale",3,4
2010,"CC1001","Winter",87,60,"Humpback whale",3,4
2011,"CC1104","Spring",87,60,"Fin whale",2,2
2011,"CC1104","Spring",87,60,"Humpback whale",2,2
2011,"CC1110","Fall",87,60,"Fin whale",2,2
2012,"CC1202","Winter",87,60,"Humpback whale",4,6
2004,"CC0407","Summer",87,80,"Blue whale",1,4
2005,"CC0501","Winter",87,80,"Humpback whale",3,3
2005,"CC0501","Winter",87,80,"Blue whale",1,3
2005,"CC0504","Spring",87,80,"Humpback whale",1,4
2005,"CC0504","Spring",87,80,"Fin whale",1,4
2005,"CC0507","Summer",87,80,"Blue whale",3,3
2005,"CC0507","Summer",87,80,"Fin whale",1,3
2008,"CC0801","Winter",87,80,"Humpback whale",3,3
2008,"CC0803","Spring",87,80,"Humpback whale",3,3
