"station","Year","Season","cruise","line","SB#","D/O?","Date","Hour","Quality","Sarah's scale (amt of background)","Types of Background","Detections?","Blue B","Blue D","Fin 20Hz Singular","Fin 20Hz Song","Fin C.C.","Fin H.C.","Humpback Song","Humpback Non-song","Start/End","Hour spans","Comments","Scan Method","Time window","Top freq","Low Freq","FFT Length","Overlap","SpeciesName","longitude","latitude","depth"
30,2010,"Summer","CC1008","90.0","SB16","OMNI",2010-08-06,1899-12-31 01:00:00,"High","bit","1.2.A","No",0,0,0,0,0,0,0,0,NA,8,NA,"wav files, cts","60s","500Hz","0Hz",3000,0.95,NA,-117.76808,33.48462,63
30,2005,"Winter","CC0501","90.0","SB12","OMNI",2005-01-10,1899-12-31 18:00:00,"Medium**","lots to tons**","1,2,3,A,B","Yes",1,0,0,1,0,0,0,0,"ends 18:16:46",2,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Fin Whale",-117.76808,33.48462,63
30,2004,"Fall","CC041","90.0","SB14","OMNI",2004-11-09,1899-12-31 16:00:00,"Medium**","bit to lots**","1,2,3,A,B","Yes",1,0,0,0,0,0,0,0,"ends 16:34:22",4,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Blue Whale",-117.76808,33.48462,63
30,2012,"Summer","CC1207","90.0","SB21","DIFAR",2012-07-17,1899-12-31 14:00:00,"High","bit","1,2,A","No",0,0,0,0,0,0,0,0,NA,1,NA,"wav files, cts","60s","500Hz","0Hz",3500,0.98,NA,-117.76808,33.48462,63
30,2012,"Summer","CC1207","90.0","SB21","DIFAR",2012-07-17,1899-12-31 20:00:00,"High","bit","1,2,3,A,B","No",0,0,0,0,0,0,0,0,"ends 20:39",1,NA,"wav files, cts","60s","500Hz","0Hz",3500,0.98,NA,-117.76808,33.48462,63
30,2007,"Fall","CC07","90.0","SB11","OMNI",2007-11-09,1899-12-31 16:00:00,"Poor","tons","1,2,B","Yes",1,1,0,1,0,0,0,0,"starts 16:51:40",1,NA,"wav files, cts","60s","500Hz","0Hz",1500,0.98,"Fin Whale",-117.76808,33.48462,63
30,2012,"Summer","CC1207","90.0","SB21","DIFAR",2012-07-17,1899-12-31 13:00:00,"High","bit","1,2,3,A","No",0,0,0,0,0,0,0,0,NA,2,NA,"wav files, cts","60s","500Hz","0Hz",3500,0.98,NA,-117.76808,33.48462,63
30,2008,"Winter","CC08","90.0","SB09","OMNI",2008-01-14,1899-12-31 18:00:00,"Medium","lots","1,2,3,A,B","Yes",0,0,0,1,0,0,0,0,"ends 18:12:00",2,"static takes over 7min 48sec into each 10min file","wav files, cts","60s","500Hz","0Hz",3000,0.98,"Fin Whale",-117.76808,33.48462,63
30,2007,"Fall","CC07","93.0","SB01","OMNI",2007-11-03,1899-12-31 15:00:00,"Medium","bit to lots","1,2,3,A,B","Yes",1,1,0,1,0,0,0,0,"starts 15:48:35",2,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Blue Whale",-117.76808,33.48462,63
30,2004,"Spring","CC0404","90.0","SB16","OMNI",2004-03-29,1899-12-31 13:00:00,"Poor","tons","1,2,A,B","No",0,0,0,0,0,0,0,0,"starts 13:35:01",3,"static takes over 5min 11sec into each 10min file; looks broken","wav files, cts","60s","500Hz","0Hz",1500,0.98,NA,-117.76808,33.48462,63
30,2009,"Summer","CC0907","90.0","SB16","OMNI",2009-07-21,1899-12-31 03:00:00,"Poor","tons","1,2,3,A,B","No",0,0,0,0,0,0,0,0,"ends 3:29:00",3,NA,"wav files, cts","60s","500Hz","0Hz",1500,0.98,NA,-117.76808,33.48462,63
30,2012,"Summer","CC1207","90.0","SB21","DIFAR",2012-07-17,1899-12-31 09:00:00,"High","bit","1,2","No",0,0,0,0,0,0,0,0,NA,1,NA,"wav files, cts","60s","500Hz","0Hz",3500,0.98,NA,-117.76808,33.48462,63
30,2008,"Winter","CC08","90.0","SB09","OMNI",2008-01-14,1899-12-31 17:00:00,"High","bit to lots","1,2,3,A,B","Yes",0,0,0,1,0,0,0,0,"starts 17:08:20",6,"static takes over 7min 48sec into each 10min file","wav files, cts","60s","500Hz","0Hz",3000,0.98,"Fin Whale",-117.76808,33.48462,63
30,2011,"Winter","CC1101","90.0","SB23","DIFAR",2011-01-19,1899-12-31 20:00:00,"Poor","tons","1,2,3","No",0,0,0,0,0,0,0,0,"ends 20:05:07",1,NA,"wav files, cts","60s","500Hz","0Hz",1500,0.98,NA,-117.76808,33.48462,63
30,2012,"Summer","CC1207","90.0","SB21","DIFAR",2012-07-17,1899-12-31 10:00:00,"High","bit","1,2,3","No",0,0,0,0,0,0,0,0,NA,2,NA,"wav files, cts","60s","500Hz","0Hz",3500,0.98,NA,-117.76808,33.48462,63
30,2012,"Summer","CC1207","90.0","SB21","DIFAR",2012-07-16,1899-12-31 16:00:00,"Medium","bit to lots","1,2,3,A; dark <30Hz","adhoc only",0,0,0,0,0,0,0,0,NA,2,NA,"wav files, cts","60s","500Hz","0Hz",3500,0.98,NA,-117.76808,33.48462,63
